넘버링,연도,사상,대상지,피해지역,,
11,2019,7/15~7/16,경기,용인시 수원신갈 나들목,37.2667,127.1039
12,2019,7/18~7/20,부산,연제구 월륜교차로,35.1846,129.1136
13,2019,07월 22일,제주,제주시 한림읍 옹포리 아루미호텔 협재,33.4063,126.2564
29,2019,10/1~10/3,경북,영덕군 강구면 오포리 82-6,36.3576,129.38
42,2020,7/22~7/25,부산,동구 초량동 부산역 제1지하차도,35.1194,129.0439
44,2020,7/29~7/30,대전,서구 정림동 코스모스 아파트,36.2988,127.3641
46,2020,8/7~8/11,광주,북구 동림동 새로나추모관,35.1777,126.8458
49,2020,08월 28일,세종,부강면 국제어린이집,36.5296,127.3646
64,2021,7/7~7/8,전북,익산시 창인동 익산중앙시장,35.9415,126.95
74,2021,8/7~8/9,강원,고성군 토성면 천진7길 CU 고성한신더휴점,38.2573,128.5563
81,2021,8/23~8/24,울산,중구 화진길 17 상아닭집,35.555,129.3079
82,2021,08월 25일,부산,연제구 연수로 179 아이유부동산,35.1745,129.0905
94,2022,6/29~7/1,충남,서산시 동문동 현대오일뱅크 대륙셀프주유소,36.7908,126.4594
102,2022,8/8~8/11,서울,강남구 남부순환로 2947 미래에셋증권 대치WM,37.4944,127.0626
104,2022,8/16~8/17,강원,양양군 양양읍 군청길 49 추지원에어로빅 앤 줌바 몬스터빅,38.0772,128.6236
107,2022,9/4~9/6,경북,포항시 남구 해병로 125 우방신세계타운1차아파트,35.9836,129.4061
119,2023,6/25~6/28,경남,진주시 상대동 남강교교차로 (동진로 347 제일브레이카),35.1808,128.1294
127,2023,7/13~7/19,충북,청주시 흥덕구 오송읍 궁평제2지하차도,36.6254,127.3456
135,2023,8/29~8/30,전남,목포시 영산로 589 유닉스 목포전시장,34.8177,126.4212
140,2023,9/20~9/21,경북,울진군 후포면 삼율로 7-20 후포면사무소,36.6786,129.4393
